,年份,批次,科类,选科要求,招生人数,最低分,平均分,最高分,最低位次,院校专业与特殊信息,前一所学校最低位次
31541,2023,本科批,物理类,物理,1.0,702.0,,,27.0,北京大学数学类含数学与应用数学(数学)、数学与应用数学(概率统计)、数学与应用数学(科学与工程计算)、数学与应用数学(信息科学)、数学与应用数学(金融)专业,
48601,2023,本科批,物理类,物理,1.0,703.0,-,703,27.0,清华大学理科试验班类含物理学等全校各专业(新雅书院),0.0
48603,2023,本科批,物理类,物理,3.0,700.0,,,27.0,清华大学理科试验班类含信息管理与信息系统、金融学(经济金融国际班)专业(经济、金融与管理),0.0
31540,2023,本科批,物理类,物理,2.0,704.0,-,704,27.0,北京大学地球物理学类含地球物理学专业,0.0
31539,2023,本科批,物理类,物理,1.0,708.0,-,710,27.0,北京大学理科试验班类(学费:5300元/学年)含数学类、物理学类、天文学、地球物理学类、计算机类、电子信息类专业,0.0
48602,2023,本科批,物理类,物理,3.0,701.0,-,712,27.0,清华大学计算机类含计算机科学与技术、软件工程、计算机科学与技术(计算机科学实验班)、计算机科学与技术(量子信息班)、计算机科学与技术(智班)专业,0.0
31565,2023,本科批,历史类,历史,1.0,672.0,-,672,31.0,北京大学考古学,4.0
48618,2023,本科批,历史类,历史,1.0,674.0,-,674,31.0,清华大学文科试验班类(经济、金融与管理)含经济与金融(国际班)专业,0.0
55699,2023,提前批本科非军检院校,历史类,"历史,政治",1.0,685.0,,,31.0,中国人民大学中国共产党历史含优秀本科生直博项目；入校后可参与选拔跨校辅修“21世纪马克思主义国际传播人才”培养项目,0.0
48619,2023,本科批,历史类,历史,1.0,674.0,,,31.0,清华大学法学类含法学、法学(国际班)专业,0.0
31570,2023,本科批,历史类,历史,2.0,671.0,-,671,31.0,北京大学英语外语语种：英语,0.0
31569,2023,本科批,历史类,历史,2.0,671.0,,,31.0,北京大学城乡规划,0.0
31558,2023,本科批,历史类,历史,1.0,695.0,,,31.0,北京大学工商管理类含金融学、金融学(金融经济学)、会计学、市场营销专业,0.0
48620,2023,本科批,历史类,历史,1.0,674.0,,,31.0,清华大学社会科学试验班含经济学、英语、英语(世界文学与文化实验班)、日语、社会学(含国际事务与全球治理、政治学、心理学)专业,0.0
31571,2023,本科批,历史类,历史,1.0,670.0,,,31.0,北京大学新闻传播学类含新闻学、广播电视学、广告学、编辑出版学专业,0.0
31568,2023,本科批,历史类,历史,2.0,671.0,,,31.0,北京大学公共管理类含城市管理、行政管理专业,0.0
31566,2023,本科批,历史类,历史,1.0,672.0,,,31.0,北京大学哲学类含哲学、宗教学、哲学(科技哲学与逻辑学)专业,0.0
31567,2023,本科批,历史类,历史,1.0,671.0,,,31.0,北京大学信息管理与信息系统,0.0
31560,2023,本科批,历史类,历史,2.0,675.0,,,31.0,北京大学法学,0.0
55698,2023,提前批本科非军检院校,历史类,"历史,政治",1.0,691.0,,,31.0,中国人民大学马克思主义理论含优秀本科生直博项目；入校后可参与选拔跨校辅修“21世纪马克思主义国际传播人才”培养项目,0.0
48622,2023,提前批本科非军检院校,历史类,"历史,政治",1.0,681.0,,,31.0,清华大学马克思主义理论学制：4年；学费：5000元/学年；住宿费：待定；办学地点：校本部,0.0
31562,2023,本科批,历史类,历史,2.0,674.0,-,674,31.0,北京大学社会学类含社会学、社会工作专业,0.0
31561,2023,本科批,历史类,历史,1.0,674.0,-,674,31.0,北京大学历史学类含历史学(中国史)、世界史、外国语言与外国历史专业,0.0
31563,2023,本科批,历史类,历史,2.0,673.0,,,31.0,北京大学中国语言文学类含汉语言文学、汉语言、古典文献学专业,0.0
31564,2023,本科批,历史类,历史,2.0,673.0,,,31.0,北京大学经济学类含经济学、金融学、国际经济与贸易、保险学(风险管理与保险)、财政学、资源与环境经济学专业,0.0
31572,2023,本科批,历史类,历史,2.0,670.0,-,670,31.0,北京大学人文科学试验班含艺术史论专业,0.0
31559,2023,本科批,历史类,历史,2.0,675.0,-,689,31.0,北京大学文科试验班类(元培)(学费：5300元/学年)含中国语言文学类、考古学、历史学类、哲学类、社会学类、法学、信息管理与信息系统、新闻传播学类、经济学类、工商管理类、公共管理类专业,0.0
55697,2023,提前批本科非军检院校,历史类,历史,4.0,691.0,,,31.0,中国人民大学外国语言文学类含日语、俄语、德语、法语、西班牙语专业含涉外法治双主学位项目、国际新闻全英文实验班学制：4年；学费：6000元/学年；住宿费：待定；外语语种：英语；办学地点：校本部,0.0
31577,2023,提前批本科非军检院校,历史类,历史,1.0,669.0,,,35.0,北京大学日语,4.0
33430,2023,本科批,历史类,历史,1.0,669.0,-,669,35.0,复旦大学法学(卓越法律人才基地),0.0
48604,2023,本科批,物理类,"物理,化学",2.0,699.0,-,699,35.0,清华大学临床医学类含临床医学(卓越医师科学家)专业(卓越医师科学家)(8年),0.0
31542,2023,本科批,物理类,物理,1.0,699.0,-,702,35.0,北京大学工商管理类含金融学、金融学(金融经济学)、会计学、市场营销专业,0.0
31579,2023,提前批本科非军检院校,历史类,历史,1.0,668.0,-,668,39.0,北京大学西班牙语,4.0
31578,2023,提前批本科非军检院校,历史类,历史,1.0,668.0,,,39.0,北京大学德语,0.0
48605,2023,本科批,物理类,物理,3.0,698.0,,,39.0,清华大学理科试验班类含数学与应用数学、物理学、数理基础科学、工程物理、工程物理(能源实验班)专业(数理),0.0
48607,2023,本科批,物理类,物理,1.0,697.0,,,45.0,清华大学法学类含法学、法学(国际班)专业,6.0
48606,2023,本科批,物理类,"物理,化学",3.0,697.0,,,45.0,清华大学临床医学类含临床医学(协和)专业(协和)(8年),0.0
49748,2023,本科批,历史类,历史,1.0,667.0,-,667,47.0,上海交通大学法学试验班含法学专业含“法学-经济学”双学士学位学制：4年；学费：7150元/学年；住宿费：待定；办学地点：校本部,2.0
33431,2023,本科批,历史类,历史,1.0,667.0,,,47.0,复旦大学金融学(金融科技),0.0
31580,2023,提前批本科非军检院校,历史类,历史,1.0,666.0,-,666,54.0,北京大学俄语,7.0
31581,2023,提前批本科非军检院校,历史类,历史,1.0,666.0,,,54.0,北京大学阿拉伯语,0.0
55719,2023,本科批,历史类,历史,5.0,666.0,,,54.0,中国人民大学法学含与“法学-新闻学”“工商管理-法学”、涉外法治双学士学位；含与哈佛大学、鲁汶大学、新加坡国立大学等交换项目，“亚洲校园+”项目、中欧欧洲法国际组织后备人才培养项目等国际交流项目,0.0
31545,2023,本科批,物理类,物理,1.0,696.0,-,696,57.0,北京大学经济学类含经济学、金融学、国际经济与贸易、保险学(风险管理与保险)、财政学、资源与环境经济学专业,3.0
31544,2023,本科批,物理类,物理,1.0,696.0,-,696,57.0,北京大学信息管理与信息系统,0.0
31543,2023,本科批,物理类,物理,2.0,696.0,-,696,57.0,北京大学心理学类含心理学专业,0.0
33432,2023,本科批,历史类,历史,3.0,665.0,-,667,60.0,复旦大学中国语言文学类(拔尖学生培养基地)含汉语言文学、汉语言专业,3.0
33433,2023,本科批,历史类,历史,3.0,665.0,,,60.0,复旦大学经济学类(拔尖学生培养基地)含经济学、经济学(数理经济方向拔尖项目)、经济学(国际项目UIPE)、金融学、国际经济与贸易(国际经济学)、财政学、保险学专业,0.0
31582,2023,提前批本科非军检院校,历史类,历史,1.0,663.0,-,663,70.0,北京大学朝鲜语,10.0
33434,2023,本科批,历史类,历史,1.0,663.0,-,663,70.0,复旦大学哲学类(拔尖学生培养基地)含哲学、哲学(国学)、哲学(科学哲学与逻辑学)、哲学(艺术哲学)、宗教学专业,0.0
48609,2023,本科批,物理类,物理,3.0,695.0,-,699,71.0,清华大学自动化类含自动化、信息管理与信息系统专业,1.0
48608,2023,本科批,物理类,物理,6.0,695.0,-,705,71.0,清华大学电子信息类含电子信息科学与技术专业,0.0
31546,2023,本科批,物理类,物理,2.0,695.0,-,705,71.0,北京大学物理学类含物理学、大气科学(大气与海洋)专业,0.0
33435,2023,本科批,历史类,历史,2.0,661.0,-,669,81.0,复旦大学历史学类(拔尖学生培养基地)含历史学、文物与博物馆学、旅游管理专业,10.0
31551,2023,本科批,物理类,物理,2.0,694.0,-,-,85.0,北京大学工科试验班类含理论与应用力学、工程力学专业,4.0
31549,2023,本科批,物理类,物理,1.0,694.0,-,697,85.0,北京大学法学,0.0
31547,2023,本科批,物理类,物理,2.0,694.0,-,694,85.0,北京大学电子信息类(学费:5300元/学年)含电子信息科学与技术、微电子科学与工程专业,0.0
31552,2023,本科批,物理类,物理,1.0,694.0,-,-,85.0,北京大学文物保护技术,0.0
31553,2023,本科批,物理类,物理,1.0,694.0,-,-,85.0,北京大学城乡规划,0.0
31550,2023,本科批,物理类,物理,1.0,694.0,-,-,85.0,北京大学天文学(天体物理、天文高新技术和应用),0.0
